report_id,type,serial,time,lat,long
10710,incident,120,2023-04-20 10:45:00,35.884166666666665,-5.839833333333333
11089,incident,122,2023-04-25 19:00:00,35.916666666666664,-5.733333333333333
11099,incident,123,2023-04-28 18:08:00,36.166666666666664,-7.066666666666666
11103,incident,124,2023-03-31 22:30:00,36.376666666666665,-7.6883333333333335
11137,incident,125,2023-05-05 00:12:00,35.99375,-5.976333333333333
11140,incident,126,2023-05-01 13:20:00,36.125,-5.888333333333334
11143,incident,127,2023-04-11 11:10:00,36.05583333333333,-6.1883333333333335
11145,incident,128,2023-05-06 12:53:00,36.14828333333333,-6.036416666666667
11160,incident,129,2023-05-06 18:50:00,36.083333333333336,-5.966666666666667
11163,incident,130,2022-08-06 07:05:00,47.46,-5.057666666666667
11166,incident,131,2023-05-08 22:30:00,35.89,-5.805
11173,incident,132,2023-05-11 16:35:00,36.126666666666665,-5.965
11175,incident,133,2023-05-07 06:30:00,35.991566666666664,-5.990516666666666
11194,incident,135,2023-05-12 15:00:00,36.11666666666667,-5.9675
11207,incident,136,2023-04-29 08:00:00,36.1,-5.9
11213,incident,137,2023-05-14 20:30:00,36.06825,-6.863316666666667
11230,incident,138,2022-07-22 15:20:00,36.13333333333333,-6.016666666666667
11241,incident,139,2023-05-25 14:00:00,36.016666666666666,-5.933333333333334
11245,incident,140,2023-05-15 00:10:00,36.05,-5.916666666666667
11279,incident,141,2023-06-02 20:45:00,36.03333333333333,-6.95
11280,incident,142,2023-06-03 04:30:00,36.03333333333333,-6.216666666666667
11281,incident,143,2023-06-03 07:10:00,36.11666666666667,-6.05
11330,incident,145,2023-06-09 03:45:00,35.891333333333336,-5.6642
11335,incident,146,2023-01-03 00:00:00,36.0417,-9.140983333333333
11354,incident,149,2023-06-25 15:05:00,36.95,-7.816666666666666
11356,incident,150,2023-06-25 14:15:00,36.95835,-7.816866666666667
11364,incident,151,2023-06-26 15:20:00,37.3848,-9.060566666666666
11378,incident,152,2023-06-25 21:00:00,36.95,-8.15
11386,incident,153,2023-06-30 00:05:00,36.39038333333333,-6.435316666666667
11395,incident,154,2023-07-02 18:50:00,35.90545,-5.271866666666667
11402,incident,155,2023-07-07 22:30:00,36.061,-5.939533333333333
11420,incident,156,2023-07-17 11:45:00,36.70673333333333,-7.910816666666666
11435,incident,157,2023-07-21 16:10:00,36.41,-4.8533333333333335
11481,incident,158,2023-08-09 11:30:00,38.2,-9.066666666666666
11490,incident,159,2023-07-15 23:58:00,36.25015,-5.187766666666667
11510,incident,160,2023-08-17 13:30:00,35.87833333333333,-5.6433333333333335
11523,incident,161,2023-08-22 11:50:00,42.896,-9.3565
11554,incident,163,2023-09-02 03:45:00,42.75,-9.233333333333333
11555,incident,164,2023-09-01 13:15:00,45.6,-3.75
11604,incident,165,2023-09-19 11:00:00,37.666666666666664,-8.9
12229,incident,166,2023-10-31 07:50:00,39.43333333333333,-9.383333333333333
12313,incident,167,2023-11-01 22:15:00,32.79163333333333,-9.906633333333334
12623,incident,168,2024-01-04 14:25:00,38.471666666666664,-9.318333333333333
12753,incident,171,2024-02-04 18:10:00,35.86666666666667,-5.8
12792,incident,172,2024-02-20 13:00:00,38.416666666666664,-9.533333333333333
12970,incident,173,2024-03-23 08:03:00,37.49666666666667,-9.085
13057,incident,174,2024-04-13 12:30:00,43.385,-8.938
13063,incident,175,2024-04-14 14:38:00,40.48956666666667,-9.204133333333333
13105,incident,176,2024-05-04 03:25:00,36.05651666666667,-5.9332
13114,incident,177,2024-05-03 09:02:00,36.083333333333336,-6.016666666666667
13130,incident,179,2024-05-06 20:15:00,36.11666666666667,-5.95
13196,incident,180,2024-04-29 06:30:00,35.858266666666665,-5.937133333333334
13231,incident,181,2024-05-03 17:07:00,36.6,-7.216666666666667
13255,incident,182,2024-05-16 06:00:00,38.583333333333336,-9.883333333333333
13268,incident,183,2024-05-22 21:45:00,35.983333333333334,-6.266666666666667
13296,incident,184,2024-05-31 01:40:00,36.13333333333333,-5.966666666666667
13335,incident,185,2024-06-06 23:20:00,36.11666666666667,-5.983333333333333
13363,incident,186,2024-06-17 10:45:00,37.166666666666664,-9.133333333333333
13364,incident,187,2024-06-18 03:00:00,37.77526666666667,-9.0101
13385,incident,188,2024-06-22 07:40:00,36.007666666666665,-5.876333333333333
13404,incident,189,2024-07-01 14:00:00,32.266666666666666,-15.183333333333334
13421,incident,190,2024-06-30 13:20:00,35.9,-5.733333333333333
13443,incident,191,2024-07-07 07:00:00,36.1,-5.95
13460,incident,192,2024-07-13 08:10:00,36.050983333333335,-5.401816666666667
13486,incident,193,2024-07-17 15:52:00,35.98,-5.621666666666666
13487,incident,194,2024-07-17 18:51:00,35.986666666666665,-6.073333333333333
13490,incident,195,2024-07-26 09:21:00,43.833333333333336,-2.7666666666666666
